Company;Name;Ref;Review Date;Cocoa_Percent;Company_Location;Rating;Broad_Bean_Origin;Bean_Type
Captain Pembleton;Kulili Estate;1263;2014;70;New Zealand;3.75;Papua New Guinea;
Caribeans;Antigua, Special Reserve;1582;2015;72;Costa Rica;3.5;Guatemala;
Castronovo;San Martin;1105;2013;70;U.S.A.;2.5;Peru;Criollo
Chchukululu (Tulicorp);Arriba;486;2010;55;Ecuador;2.75;Ecuador;Forastero (Arriba)
Chocolarder;Peru + nibs;1482;2015;65;U.K.;2.75;Peru;Criollo
Chocolate Alchemist-Philly;Philly Blend, 5 plantations;1772;2016;80;U.S.A.;2.5;;
Choklat;Porcelana, Tabasco;377;2009;70;Canada;2.75;Mexico;Criollo
Coppeneur;Madagascar;959;2012;70;Germany;3.5;Madagascar;Trinitario
Cravve;Bahia;975;2012;65;Australia;3.25;Brazil;Trinitario
Cravve;Namau Village, N. Taileva P.;975;2012;67;Australia;3.25;Fiji;Trinitario
Danta;Los Ujuxtes;661;2011;60;Guatemala;3.5;Guatemala;
Dark Forest;Tanzania;1554;2015;70;U.S.A.;3.0;Tanzania;
De Mendes;Selvagem, Jari;1462;2015;65;Brazil;3.5;Brazil;
Dick Taylor;Camino Verde;1193;2013;76;U.S.A.;3.5;Ecuador;
Domori;Ocumare 67, Puertofino;192;2007;70;Italy;4.0;Venezuela;Criollo (Ocumare 67)
Dormouse;Rio Caribe, Batch 7;1672;2015;70;U.K.;2.5;Venezuela;Trinitario
Feitoria Cacao;Blue Mountain;1732;2016;76;Portugal;3.0;Jamaica;
Finca;Dominican Republic;1287;2014;85;U.S.A.;2.5;Dominican Republic;
Franceschi;Canoabo;911;2012;70;Venezuela;3.75;Venezuela;
French Broad;Matagalpa;1295;2014;68;U.S.A.;3.25;Nicaragua;
Grenada Chocolate Co.;Grenada;363;2009;60;Grenada;2.75;Grenada;Trinitario
Guittard;Machu Pichu;259;2008;65;U.S.A.;3.0;Peru;
Guittard;Los Rios, Quevedo;93;2006;65;U.S.A.;3.5;Ecuador;Forastero (Arriba)
Holy Cacao;Hispaniola;431;2009;70;Israel;2.75;Dominican Republic;
Honest;Ecuador, w/ nibs;1327;2014;72;South Africa;2.5;Ecuador;
Hotel Chocolat (Coppeneur);Los Rios, H. Iara, 2012, 120hr c.;1113;2013;100;U.K.;2.5;Ecuador;Forastero (Nacional)
Hotel Chocolat (Coppeneur);Los Rios, H. Iara, 96hr c.;623;2011;80;U.K.;3.0;Ecuador;Forastero (Nacional)
Hotel Chocolat (Coppeneur);Santo Domingo;552;2010;70;U.K.;3.0;Dominican Republic;
Kakao;Vanuatu;387;2009;65;Germany;3.75;Vanuatu;Trinitario
Kto;Sambirano Valley;1422;2014;72;U.S.A.;3.25;Madagascar;Trinitario
Kto;Ocumare;1422;2014;72;U.S.A.;2.75;Venezuela;
La Maison du Chocolat (Valrhona);Cuana, 2013;1121;2013;74;France;2.75;Africa, Carribean, C. Am.;
Lillie Belle;Purple Haze;947;2012;75;U.S.A.;2.75;Venezuela, Dom. Rep.;
Mana;Conacado;821;2012;74;U.S.A.;3.75;Dominican Republic;
Manoa;Piura;1007;2012;72;U.S.A.;3.0;Peru;
Mast Brothers;Madagascar;999;2012;72;U.S.A.;2.5;Madagascar;Trinitario
Mast Brothers;Brooklyn Blend;672;2011;72;U.S.A.;3.5;;
Monarque;Oko Caribe;1812;2016;72;Canada;3.5;Dominican Republic;
Montecristi;Manabi;1654;2015;63;Ecuador;3.5;Ecuador;
Ocho;Sang Yum Coop;1760;2016;100;New Zealand;2.75;Samoa;
Pacari;Sierra Nevada, Tutu Iku;1848;2016;70;Ecuador;4.0;Colombia;
Pralus;Monte Alegre (Itacare), Brazil;105;2006;75;France;3.0;Brazil;Forastero
Pralus;Cuba;99;2006;75;France;3.0;Cuba;Trinitario
Pralus;Vanuatu;40;2006;75;France;3.0;Vanuatu;Trinitario
Quetzalli (Wolter);Uranga, Lot 22032016;1800;2016;74;Mexico;3.0;Mexico;Trinitario
Republica del Cacao (aka Confecta);Los Rios;170;2007;75;Ecuador;3.75;Ecuador;Forastero (Arriba)
Santander;Colombian Dark;32;2006;70;Colombia;4.0;Colombia;Forastero (Nacional)
Sol Cacao;Madagascar;1518;2015;72;U.S.A.;3.0;Madagascar;Trinitario
Soma;La Tronca, Matagalpa;1227;2014;70;Canada;3.5;Nicaragua;
Soma;Papua New Guinea;983;2012;85;Canada;3.5;Papua New Guinea;Trinitario
Soma;Carenero Superior;951;2012;70;Canada;3.75;Venezuela;Trinitario
StRita Supreme;Samar, East Visayas region;943;2012;75;U.S.A.;2.75;Philippines;
Valrhona;Porcelana, Pedegral;757;2011;64;France;4.0;Venezuela;Criollo
Willie's Cacao;San Martin;457;2009;70;U.K.;3.0;Peru;
Zak's;Papua New Guinea, Batch 2;1574;2015;70;U.S.A.;3.0;Papua New Guinea;
Zotter;Satipo Pangoa region, 16hr conche;875;2012;70;Austria;3.0;Peru;Criollo (Amarru)
Zotter;Kerala State;781;2011;62;Austria;3.25;India;
A. Morin;Puerto Cabello;1319;2014;70;France;3.75;Venezuela;Criollo
Adi;Vanua Levu, Ami-Ami-CA;705;2011;72;Fiji;3.5;Fiji;Trinitario
Akesson's (Pralus);Monte Alegre, D. Badero;508;2010;75;Switzerland;2.75;Brazil;Forastero
Arete;Nacional;1534;2015;68;U.S.A.;3.5;Peru;Forastero (Nacional)
Artisan du Chocolat;Costa Rica;600;2010;72;U.K.;3.25;Costa Rica;
Artisan du Chocolat;Bali;600;2010;72;U.K.;3.5;Indonesia;
Artisan du Chocolat;Congo;300;2008;72;U.K.;3.75;Congo;Forastero
Bakau;Huallabamba, 2015;1454;2015;70;Peru;3.5;Peru;
Belyzium;Belize south;1768;2016;83;Germany;3.5;Belize;Trinitario
Blanxart;Organic Dark;322;2009;72;Spain;2.75;;
Blue Bandana;Lachua;1752;2016;75;U.S.A.;2.75;Guatemala;
Bonnat;Porcelana, Venezuela;199;2008;75;France;4.0;Venezuela;Criollo (Porcelana)
Brazen;Maya Mountain;1518;2015;80;U.S.A.;3.25;Belize;Trinitario
Cacao de Origen;Chuao;1688;2015;77;Venezuela;3.5;Venezuela;Trinitario
Cacao Store;Peru;1684;2015;70;Japan;3.25;Peru;
Cacaoyere (Ecuatoriana);Amazonia;237;2008;63;Ecuador;3.5;Ecuador;Forastero (Arriba)
Caoni (Tulicorp);Manabi;237;2008;77;Ecuador;2.5;Ecuador;Forastero (Arriba)
Chocolate Alchemist-Philly;"Tumbes, ""Zarumilla""";1772;2016;90;U.S.A.;2.5;Peru;
Chocolate Con Amor;Dominican Republic;1764;2016;75;U.S.A.;3.0;Dominican Republic;
Chocovic;Sambirano;478;2010;71;Spain;3.5;Madagascar;Trinitario
Danta;Las Acacias E.;423;2009;60;Guatemala;3.25;Guatemala;Criollo
DeVries;Dominican Republic;166;2007;77;U.S.A.;3.5;Dominican Republic;
Doble & Bignall;Puerto Cabello;1688;2015;85;U.K.;3.0;Venezuela;
Dolfin (Belcolade);Africa;304;2008;88;Belgium;3.0;West Africa;Forastero
Domori;Granella;135;2007;60;Italy;3.25;Venezuela;Trinitario
Domori;Carenero Superior;87;2006;70;Italy;3.5;Venezuela;Trinitario
Duffy's;Ocumare;923;2012;72;U.K.;3.75;Venezuela;
Duffy's;Panama;516;2010;70;U.K.;3.5;Panama;
El Rey;Rio Caribe, Cariaco;439;2009;60;Venezuela;2.75;Venezuela;Trinitario
Emerald Estate;Emerald Estate;1137;2013;60;St. Lucia;2.75;St. Lucia;
Felchlin;Arriba;48;2006;72;Switzerland;3.5;Ecuador;Forastero (Arriba)
Grand Place;Ben Tre, Dong Nai;741;2011;72;Vietnam;3.0;Vietnam;Trinitario
Grenada Chocolate Co.;Grenada;494;2010;82;Grenada;3.25;Grenada;Trinitario
Guittard;Ecuador;1053;2013;65;U.S.A.;3.5;Ecuador;
Guittard;Complexite;387;2009;70;U.S.A.;3.5;;Blend
Guittard;Sambirano, Ambanja;87;2006;65;U.S.A.;3.5;Madagascar;Criollo, +
Heirloom Cacao Preservation (Guittard);Alto Beni, Upper Rio Beni, 2014;1239;2014;67;U.S.A.;3.5;Bolivia;Amazon, ICS
Hotel Chocolat (Coppeneur);Ecuador;552;2010;70;U.K.;2.75;Ecuador;
Hummingbird;Hispaniola;1311;2014;70;Canada;3.75;Dominican Republic;Trinitario
Indi;Honduras;1255;2014;77;U.S.A.;3.0;Honduras;
Kyya;Uganda;1359;2014;72;U.S.A.;2.5;Uganda;Forastero
La Maison du Chocolat (Valrhona);Orinoco;445;2009;60;France;3.75;;
Luker;Selva;552;2010;46;Colombia;2.75;Colombia, Ecuador;
Madre;Xocunusco, Chiapas, Pichucalco;1089;2013;70;U.S.A.;2.75;Mexico;
Mana;Peru;1219;2014;74;U.S.A.;2.5;Peru;
Map Chocolate;Le Chocolat Chaud;1634;2015;78;U.S.A.;3.5;Honduras;
Marou;Tan Phu Dong Island, Heart of Darkness;1650;2015;85;Vietnam;3.25;Vietnam;Trinitario
Marou;Ben Tre;849;2012;78;Vietnam;3.5;Vietnam;Trinitario
Marsatta;Dominican Republic;1189;2013;74;U.S.A.;2.25;Dominican Republic;
Martin Mayer;Pisa;1836;2016;82;Austria;3.0;Haiti;
Mast Brothers;Chuao, Med. Roast;701;2011;76;U.S.A.;3.0;Venezuela;Trinitario
Middlebury;La Red;1117;2013;75;U.S.A.;2.5;Dominican Republic;
Momotombo;Oscuro;772;2011;70;Nicaragua;3.25;Nicaragua;
Montecristi;Manabi;1654;2015;70;Ecuador;3.25;Ecuador;
Noble Bean aka Jerjobo;Maranon Canyon;1299;2014;75;U.S.A.;3.25;Peru;Forastero (Nacional)
organicfair;Caribe;1165;2013;72;Canada;3.0;Dominican Republic;
Patric;Rio Caribe, Paria Penninsula;439;2009;70;U.S.A.;3.5;Venezuela;Trinitario
Pralus;Cuyagua;451;2009;75;France;2.0;Venezuela;
Pralus;Equateur;40;2006;75;France;3.0;Ecuador;Trinitario
Pralus;Java, Indonesie;32;2006;75;France;3.5;Indonesia;Criollo
Pralus;Tanzania;105;2006;75;France;3.5;Tanzania;Criollo
Quetzalli (Wolter);Mexico, Lot 28022016;1796;2016;70;Mexico;2.75;Mexico;Criollo
Raw Cocoa;Raw;867;2012;70;Poland;2.5;;Criollo
Republica del Cacao (aka Confecta);Manabi;147;2007;75;Ecuador;3.0;Ecuador;Forastero (Arriba)
Rogue;Tranquilidad, Batch 1;1566;2015;75;U.S.A.;3.25;Bolivia;
Sibu Sura;Peru;911;2012;70;U.S.A.;2.5;Peru;
Snake & Butterfly;Ghana;693;2011;67;U.S.A.;1.5;Ghana;Forastero
Solomons Gold;Solomon Island w/ nibs;1796;2016;75;New Zealand;3.25;Solomon Islands;
Soma;Papua New Guinea;387;2009;70;Canada;3.5;Papua New Guinea;Trinitario
Suruca Chocolate;Venezuela;1796;2016;70;Venezuela;2.75;Venezuela;
Szanto Tibor;Baracoa;1263;2014;70;Hungary;3.75;Cuba;Trinitario
Szanto Tibor;Cacao Blanco;1193;2013;70;Hungary;3.25;Nicaragua;
Tejas;Espada;967;2012;70;U.S.A.;2.75;Brazil;
Valrhona;Piura, Illanka, Quemazon;1510;2015;63;France;4.0;Peru;
Valrhona;Caraque;709;2011;56;France;3.25;;
Willie's Cacao;Los Llanos;1227;2014;88;U.K.;3.0;Colombia;Trinitario
Woodblock;Camino Verde P., Balao, Guayas;1042;2013;70;U.S.A.;3.25;Ecuador;
Zotter;Loma Los Pinos, Yacao region, D.R.;875;2012;62;Austria;3.75;Dominican Republic;
A. Morin;Chanchamayo Province;1019;2013;63;France;4.0;Peru;
Ah Cacao;Tabasco;316;2009;70;Mexico;3.0;Mexico;Criollo
Altus aka Cao Artisan;Gruppo Salinas;1732;2016;60;U.S.A.;2.75;Ecuador;
AMMA;Monte Alegre, 3 diff. plantations;572;2010;60;Brazil;4.0;Brazil;Forastero (Parazinho)
Bar Au Chocolat;Duarte Province;983;2012;70;U.S.A.;3.25;Dominican Republic;
Bar Au Chocolat;Sambirano;983;2012;70;U.S.A.;3.75;Madagascar;Trinitario
Bonnat;Ivory Coast;331;2009;75;France;3.0;Ivory Coast;
Bonnat;Madagascar;75;2006;75;France;4.0;Madagascar;Trinitario
Bowler Man;Conacado;1271;2014;70;U.S.A.;2.75;Dominican Republic;
Caribeans;Talamanca, Raul-Kekoldo community;1586;2015;72;Costa Rica;3.25;Costa Rica;
Castronovo;Elvesia P.;1407;2014;70;U.S.A.;2.75;Dominican Republic;Trinitario
Castronovo;Guaniamo, Amazonas;1105;2013;70;U.S.A.;3.25;Venezuela;
Chocolate Con Amor;Dominican Republic;1764;2016;60;U.S.A.;3.0;Dominican Republic;
ChocoReko;Patanemo;1454;2015;77;Japan;3.0;Venezuela;Criollo
Choklat;Brazilian;377;2009;70;Canada;3.0;Brazil;
Coppeneur;Los Rios, H. Iara;558;2010;72;Germany;2.5;Ecuador;Nacional
Dick Taylor;Ecuador, Choc. Garage Exclusive;1034;2013;70;U.S.A.;3.25;Ecuador;
Dick Taylor;La Red;769;2011;74;U.S.A.;3.0;Dominican Republic;
Emerald Estate;Emerald Estate;1137;2013;70;St. Lucia;3.25;St. Lucia;
Enric Rovira (Claudio Corallo);Terreiro Velho P.;565;2010;80;Spain;3.25;Sao Tome & Principe;Forastero
Escazu;Carenero Superior;423;2009;81;U.S.A.;3.5;Venezuela;Criollo
Felchlin;Madagascar, Grand Cru;48;2006;64;Switzerland;3.0;Madagascar;Criollo
Fossa;Akesson's E., Sambirano V.;1772;2016;70;Singapore;2.75;Madagascar;
Frederic Blondeel;Vietnam;1542;2015;80;Belgium;3.0;Vietnam;Trinitario
French Broad;Palo Blanco w/ panela, Chulucanas;887;2012;81;U.S.A.;2.0;Peru;
Fruition;Gran Couva;1347;2014;70;U.S.A.;3.75;Trinidad;Trinitario
Guittard;Lever du Soleil;654;2011;61;U.S.A.;3.25;;
Guittard;Special Maker Reserve;276;2008;64;U.S.A.;3.0;;
Hummingbird;Lam Dong;1542;2015;70;Canada;3.5;Vietnam;Trinitario
Isidro;Dominican Republic;1279;2014;72;U.S.A.;3.25;Dominican Republic;
Izard;Maya Mountain, Toledo, Batch 29;1542;2015;70;U.S.A.;3.5;Belize;Trinitario
L.A. Burdick (Felchlin);Chuao;927;2012;68;U.S.A.;3.75;Venezuela;Trinitario
La Maison du Chocolat (Valrhona);Cuana, 2008;230;2008;74;France;3.5;Ven., Indonesia, Ecuad.;Blend
Laia aka Chat-Noir;Cuba;1434;2014;70;France;2.75;Cuba;
Manufaktura Czekolady;Johe;1844;2016;70;Poland;3.75;Nicaragua;
Marou;Dong Nai;845;2012;72;Vietnam;3.5;Vietnam;Trinitario
Martin Mayer;Alto Beni;1836;2016;76;Austria;2.75;Bolivia;
Mast Brothers;San Martin;777;2011;75;U.S.A.;3.0;Peru;
Michel Cluizel;Carre Amer;24;2006;60;France;2.0;;
Millcreek Cacao Roasters;Ecuador;1073;2013;70;U.S.A.;2.5;Ecuador;Forastero (Nacional)
Mission;Bahia, Fazenda Venturosa;1626;2015;70;Brazil;3.5;Brazil;Forastero (Parazinho)
Ocho;PNG, Voodoo;1411;2014;88;New Zealand;3.25;Papua New Guinea;
Orquidea;Peru;859;2012;65;Peru;3.0;Peru;
Pacari;Montubia;1415;2014;70;Ecuador;3.75;Ecuador;
Parliament;Alto Beni;1251;2014;70;U.S.A.;3.0;Bolivia;
Patric;Madagascar;439;2009;67;U.S.A.;3.5;Madagascar;Trinitario
Pierre Marcolini;Haut Penja, w/ nibs;1658;2015;70;Belgium;3.25;Cameroon;Forastero
Pierre Marcolini;Chuao;478;2010;75;Belgium;3.0;Venezuela;Criollo
Rogue;Caranero, Choc. Garage Exclusive;1446;2015;70;U.S.A.;3.75;Venezuela;
Santander;Colombian w/ nibs;414;2009;70;Colombia;3.0;Colombia;Forastero (Nacional)
Shark's;Hilo, w/ added cocoa butter;721;2011;73;U.S.A.;2.5;Hawaii;
Solkiki;Maranon, Fortunato No. 4;1840;2016;68;U.K.;2.75;Peru;Forastero (Nacional)
Soma;CSB Chama;1594;2015;70;Canada;3.5;Venezuela;Criollo
Soma;Crazy 88;1077;2013;88;Canada;4.0;Guat., D.R., Peru, Mad., PNG;
Soma;Alto Beni, Wild Bolivian;676;2011;70;Canada;3.5;Bolivia;Nacional
Soma;Elvesia P., Black Science;682;2011;70;Canada;3.75;Dominican Republic;Forastero
Somerville;Hawaiian, Big Island;1395;2014;70;U.S.A.;3.5;Hawaii;
Tabal;Dominican Republic;1101;2013;70;U.S.A.;2.75;Dominican Republic;
Theo;Ghana, Panama, Ecuador;188;2007;75;U.S.A.;3.0;Ghana, Panama, Ecuador;Blend
Upchurch;Tanzania, Party Bar;1752;2016;72;U.S.A.;3.25;Tanzania;
Valrhona;Tainori;327;2009;64;France;3.75;Dominican Republic;
Valrhona;Manjari;129;2007;64;France;4.0;Madagascar;Criollo, Trinitario
Valrhona;Abinao;153;2007;85;France;2.5;West Africa;Forastero
Valrhona;Le Noir Amer;157;2007;71;France;2.75;West Africa;Forastero
Valrhona;Porcelana, Maracaibo, Palmira P. 2005;75;2006;64;France;3.0;Venezuela;Criollo (Porcelana)
Vao Vao (Chocolaterie Robert);Madagascar;404;2009;80;Madagascar;2.75;Madagascar;Trinitario
Zart Pralinen;San Juan Estate;1824;2016;85;Austria;2.75;Trinidad;Trinitario
Zokoko;Alto Beni;697;2011;68;Australia;3.5;Bolivia;
Zotter;El Oro;879;2012;75;Austria;3.0;Ecuador;Forastero (Nacional)
A. Morin;Papua New Guinea;1015;2013;70;France;3.25;Papua New Guinea;
Amazona;Bellavista Gran Pajeten, San Martin;1145;2013;73;Peru;3.5;Peru;Trinitario
AMMA;Monte Alegre, 3 diff. plantations;572;2010;75;Brazil;3.75;Brazil;Forastero (Parazinho)
Baravelli's;single estate;955;2012;80;Wales;2.75;Costa Rica;
Beschle (Felchlin);Ocumare, Premier Cru, Quizas No. 2;508;2010;72;Switzerland;3.5;Venezuela;
Bisou;Nicaragua, American style;1482;2015;76;U.S.A.;2.5;Nicaragua;
Blanxart;Congo, Grand Cru;1046;2013;82;Spain;3.5;Congo;Forastero
Bonnat;Libanio;629;2011;75;France;3.75;Brazil;
Brazen;Ambolikapiky P.;1518;2015;80;U.S.A.;2.75;Madagascar;
Cacao de Origin;Hacienda la Trinidad;1668;2015;74;Venezuela;3.25;Venezuela;
Cacao Hunters;Arauca;1434;2014;70;Colombia;3.25;Colombia;
Cacao Sampaka;Grenada;537;2010;71;Spain;3.25;Grenada;Trinitario
Cao;Bolivia;1808;2016;75;U.S.A.;3.0;Bolivia;
Chocosol;Chiapas, Lacandon Jungle, Oaxacom Mtn;682;2011;65;Canada;3.25;Mexico;
Cloudforest;Camino Verde P., Balao, Guayas, 2014;1486;2015;73;U.S.A.;3.5;Ecuador;
Compania de Chocolate (Salgado);Sur del Lago;579;2010;70;Argentina;3.25;Venezuela;
Coppeneur;Grenada;470;2010;72;Germany;3.25;Grenada;Trinitario
Daintree;Goodman Estate;1654;2015;70;Australia;2.75;Australia;
Domori;Hacienda Victoria;1672;2015;70;Italy;3.75;Ecuador;
East Van Roasters;Madagascar;1343;2014;70;Canada;3.5;Madagascar;Trinitario
Feitoria Cacao;Cuyagua;1736;2016;76;Portugal;2.5;Venezuela;
Frederic Blondeel;Costa Rica;1538;2015;70;Belgium;3.5;Costa Rica;
French Broad;La Red;785;2011;65;U.S.A.;3.5;Dominican Republic;
Fresco;Conacado, #223, MR, SC;1030;2013;72;U.S.A.;3.25;Dominican Republic;
Guittard;Tsaranta;93;2006;61;U.S.A.;3.5;;Blend
Hotel Chocolat (Coppeneur);Trinidad;1038;2013;75;U.K.;3.0;Trinidad;Trinitario
La Maison du Chocolat (Valrhona);Loma Sotavento;891;2012;66;France;3.5;Dominican Republic;
Letterpress;La Red, Guaconejo;1566;2015;70;U.S.A.;3.25;Domincan Republic;
Majani;Ecuador;531;2010;70;Italy;2.0;Ecuador;
Mast Brothers;Tanzania;1450;2015;74;U.S.A.;3.25;Tanzania;
Matale;Blend;1181;2013;70;Australia;3.75;PNG, Vanuatu, Mad;Trinitario
Middlebury;Patanemo, Epoch, Donaldo;1490;2015;75;U.S.A.;3.75;Venezuela;
Oialla by Bojessen (Malmo);Sylvestre, Oialla;761;2011;70;Germany;3.5;Bolivia;Criollo
Pangea;Matasawalevu;1860;2016;76;Spain;3.0;Fiji;
Parliament;Lachua, Q'egchi families;1542;2015;70;U.S.A.;3.5;Guatemala;
Pitch Dark;Johe;1506;2015;80;U.S.A.;2.75;Nicaragua;
Potomac;Upala, Batch 12;607;2010;82;U.S.A.;3.75;Costa Rica;Matina
Pralus;Ghana;40;2006;75;France;3.25;Ghana;Forastero
Pump Street Bakery;Akesson's, batch 4411;1530;2015;74;U.K.;3.5;Madagascar;Criollo
Ritual;Toledo District, Maya;1089;2013;75;U.S.A.;3.75;Belize;Trinitario
Robert (aka Chocolaterie Robert);Madagascar;1061;2013;75;Madagascar;3.25;Madagascar;Trinitario
Salgado;Rio Arriba;292;2008;70;Argentina;3.5;Ecuador;Forastero (Arriba) ASSS
Scharffen Berger;Kumasi Sambirano;40;2006;68;U.S.A.;2.0;Ghana & Madagascar;Blend
Shark Mountain;Cuyagua;1466;2015;77;U.S.A.;2.75;Venezuela;Criollo
Silvio Bessone;Trintade, Sao Tome;725;2011;65;Italy;3.25;Sao Tome;Forastero
Soma;Cahabon Region;951;2012;70;Canada;3.5;Guatemala;Trinitario
Starchild;Hispaniola;1692;2015;70;U.S.A.;3.0;Domincan Republic;
TCHO;TCHOPro 60.5;387;2009;60;U.S.A.;2.75;;
Tejas;San Jose;829;2012;70;U.S.A.;2.75;Bolivia;
Vanleer (Barry Callebaut);Manhattan;963;2012;72;U.S.A.;2.5;Ghana;Forastero
Vao Vao (Chocolaterie Robert);Madagascar;404;2009;64;Madagascar;3.25;Madagascar;Trinitario
Woodblock;Ecuador;825;2012;70;U.S.A.;2.5;Ecuador;
Zak's;Madagascar, Batch 2;1578;2015;70;U.S.A.;3.25;Madagascar;Trinitario
A. Morin;Sur del Lago;1315;2014;70;France;3.5;Venezuela;Criollo
Acalli;Chulucanas, El Platanal;1462;2015;70;U.S.A.;3.75;Peru;
Adi;Vanua Levu;705;2011;88;Fiji;3.5;Fiji;Trinitario
Bernachon;Nature;797;2012;55;France;2.75;;
Bonnat;Jamaique;761;2011;75;France;3.25;Jamaica;Trinitario
Bright;Marabel Farms;1231;2014;70;Australia;3.5;Dominican Republic;
Burnt Fork Bend;Mindo;1299;2014;72;U.S.A.;3.5;Ecuador;
Burnt Fork Bend;Ecuador, Bob Bar;1323;2014;60;U.S.A.;2.5;Ecuador;
Cacao Arabuco;Puerto Rico;1606;2015;70;Puerto Rico;2.5;Puerto Rico;
Cacao Prieto;Dominican Republicm, rustic;641;2011;72;U.S.A.;3.0;Dominican Republic;
C-Amaro;Ecuador;1185;2013;100;Italy;3.5;Ecuador;
Caribeans;Costa Rica;841;2012;72;Costa Rica;3.0;Costa Rica;Forastero
Castronovo;Guaniamo;1153;2013;72;U.S.A.;3.0;Venezuela;
Creo;"""heirloom"", Arriba Nacional";1736;2016;73;U.S.A.;3.75;Ecuador;Forastero (Nacional)
Dean and Deluca (Belcolade);Costa Rica;175;2007;64;U.S.A.;3.0;Costa Rica;
Dick Taylor;Tien Giang;1864;2016;78;U.S.A.;3.5;Vietnam;Trinitario
Domori;Ecuador;192;2007;70;Italy;4.0;Ecuador;Forastero (Arriba)
Duffy's;Nicaliso, Xoco;697;2011;71;U.K.;3.25;Nicaragua;Criollo
Duffy's;Corazon del Ecuador, Calceta beans;516;2010;72;U.K.;3.75;Ecuador;
Erithaj (A. Morin);Ba Lai;1209;2014;74;France;3.25;Vietnam;Trinitario
French Broad;Guatemala;1634;2015;73;U.S.A.;3.5;Guatemala;
Fresco;Chuao, #218, MR, MC;745;2011;76;U.S.A.;3.25;Venezuela;Trinitario
Fruition;Wild Bolivian, Batch 2;1780;2016;74;U.S.A.;3.75;Bolivia;Beniano
Garden Island;Kaua'I, Alea Estate +world;1367;2014;85;U.S.A.;2.5;Hawaii;Blend
Guittard;Ocumare;276;2008;65;U.S.A.;3.5;Venezuela;
Harper Macaw;Vale do Juliana, w/ nibs;1808;2016;85;U.S.A.;3.25;Brazil;
Harper Macaw;Tome Acu E., Amazon Rainforest;1700;2015;77;U.S.A.;3.5;Brazil;
hexx;Venezuela;1546;2015;70;U.S.A.;3.0;Venezuela;
Hotel Chocolat (Coppeneur);Somia Plantation, Akesson, 2012;1065;2013;72;U.K.;3.0;Madagascar;Trinitario
Hummingbird;Ocumare, Cumboto;1097;2013;70;Canada;3.25;Venezuela;Trinitario, Criollo
Just Good Chocolate;Peru;1375;2014;70;U.S.A.;4.0;Peru;
Kallari (Ecuatoriana);Sisa 36hr/ W. F. blend prototype;241;2008;70;Ecuador;3.0;Ecuador;
Kto;Belize;1426;2014;90;U.S.A.;3.25;Belize;Trinitario
Kto;Elvesia;1426;2014;72;U.S.A.;3.25;Dominican Republic;
L.A. Burdick (Felchlin);Dominican Republic;576;2010;74;U.S.A.;3.75;Dominican Republic;
Levy;Sambirano;1231;2014;71;Finland;3.5;Madagascar;Criollo
Lonohana;Haleiwa E, O'ahu, 2014;1395;2014;75;U.S.A.;3.75;Hawaii;
Madre;Upala;693;2011;70;U.S.A.;2.75;Costa Rica;
Marou;Ba Ria;845;2012;76;Vietnam;3.5;Vietnam;Trinitario
Mars;Nigeria;544;2010;65;U.S.A.;3.25;Nigeria;
Mast Brothers;Papua New Guinea;777;2011;71;U.S.A.;2.75;Papua New Guinea;
Meadowlands;Dominican Republic;1291;2014;70;U.S.A.;3.5;Dominican Republic;
Middlebury;Matagalpa, Cacao Bisiesto;1538;2015;70;U.S.A.;3.5;Nicaragua;
Middlebury;Kokoa Kamili;1538;2015;75;U.S.A.;3.25;Tanzania;
Nahua;Costa Rica, Oscuro;1049;2013;70;Costa Rica;3.0;Costa Rica;
Na�ve;Nicaragua;1379;2014;70;Lithuania;3.25;Nicaragua;Criollo
Neuhaus (Callebaut);Sao Tome;15;2006;75;Belgium;2.75;Sao Tome;Forastero
Nibble;Elvesia P.;1526;2015;72;U.S.A.;2.75;Dominican Republic;Trinitario
Pacari;Manabi;224;2008;65;Ecuador;2.75;Ecuador;Forastero (Arriba)
Pierre Marcolini;Fleur de Cacao;166;2007;85;Belgium;3.5;Venezuela/ Ghana;Blend
Potomac;San Martin, Amazonian Highlands;789;2011;70;U.S.A.;2.75;Peru;
Pralus;Sambirano Valley, Le 100%;202;2008;100;France;3.0;Madagascar;Criollo
Salgado;Bahia Superior;288;2008;70;Argentina;3.5;Brazil;Forastero
Shark Mountain;Ecuador;1335;2014;75;U.S.A.;3.0;Ecuador;Trinitario
Sirene;Lachua w/ maple sugar, batch 5;1614;2015;73;Canada;3.25;Guatemala;
Spagnvola;AgroCriso Plantation;793;2012;75;U.S.A.;3.25;Dominican Republic;
Szanto Tibor;Baracoa;1704;2015;88;Hungary;3.25;Cuba;Trinitario
Theo;Congo w/ nibs;903;2012;65;U.S.A.;3.25;Congo;Forastero
twenty-four blackbirds;Madagascar;1235;2014;75;U.S.A.;3.5;Madagascar;Trinitario
Two Ravens;Peru;1740;2016;60;U.S.A.;3.0;Peru;Criollo
Vivra;Peru;1720;2016;70;U.S.A.;2.5;Peru;
Zak's;Belize, Batch 2;1578;2015;70;U.S.A.;3.5;Belize;Trinitario
A. Morin;Cuba;1315;2014;70;France;3.5;Cuba;
Aequare (Gianduja);Los Rios, Quevedo, Arriba;370;2009;70;Ecuador;3.0;Ecuador;Forastero (Arriba)
Amatller (Simon Coll);Ecuador;327;2009;70;Spain;2.75;Ecuador;
